person_confidence,person_nms_iou,tp,fp,fn,precision,recall,f1,meets_recall_constraint,selected
0.2,0.4,27,2,3,0.931034,0.9,0.915254,False,False
0.2,0.45,27,2,3,0.931034,0.9,0.915254,False,False
0.2,0.5,27,2,3,0.931034,0.9,0.915254,False,False
0.2,0.55,27,2,3,0.931034,0.9,0.915254,False,False
0.2,0.6,27,2,3,0.931034,0.9,0.915254,False,False
0.2,0.65,27,2,3,0.931034,0.9,0.915254,False,False
0.2,0.7,29,2,1,0.935484,0.966667,0.95082,True,False
0.25,0.4,27,1,3,0.964286,0.9,0.931034,False,False
0.25,0.45,27,1,3,0.964286,0.9,0.931034,False,False
0.25,0.5,27,1,3,0.964286,0.9,0.931034,False,False
0.25,0.55,27,1,3,0.964286,0.9,0.931034,False,False
0.25,0.6,27,1,3,0.964286,0.9,0.931034,False,False
0.25,0.65,27,1,3,0.964286,0.9,0.931034,False,False
0.25,0.7,29,1,1,0.966667,0.966667,0.966667,True,True
0.3,0.4,26,1,4,0.962963,0.866667,0.912281,False,False
0.3,0.45,26,1,4,0.962963,0.866667,0.912281,False,False
0.3,0.5,26,1,4,0.962963,0.866667,0.912281,False,False
0.3,0.55,26,1,4,0.962963,0.866667,0.912281,False,False
0.3,0.6,26,1,4,0.962963,0.866667,0.912281,False,False
0.3,0.65,26,1,4,0.962963,0.866667,0.912281,False,False
0.3,0.7,27,1,3,0.964286,0.9,0.931034,False,False
0.35,0.4,26,1,4,0.962963,0.866667,0.912281,False,False
0.35,0.45,26,1,4,0.962963,0.866667,0.912281,False,False
0.35,0.5,26,1,4,0.962963,0.866667,0.912281,False,False
0.35,0.55,26,1,4,0.962963,0.866667,0.912281,False,False
0.35,0.6,26,1,4,0.962963,0.866667,0.912281,False,False
0.35,0.65,26,1,4,0.962963,0.866667,0.912281,False,False
0.35,0.7,26,1,4,0.962963,0.866667,0.912281,False,False
0.4,0.4,25,1,5,0.961538,0.833333,0.892857,False,False
0.4,0.45,25,1,5,0.961538,0.833333,0.892857,False,False
0.4,0.5,25,1,5,0.961538,0.833333,0.892857,False,False
0.4,0.55,25,1,5,0.961538,0.833333,0.892857,False,False
0.4,0.6,25,1,5,0.961538,0.833333,0.892857,False,False
0.4,0.65,25,1,5,0.961538,0.833333,0.892857,False,False
0.4,0.7,25,1,5,0.961538,0.833333,0.892857,False,False
0.45,0.4,22,1,8,0.956522,0.733333,0.830189,False,False
0.45,0.45,22,1,8,0.956522,0.733333,0.830189,False,False
0.45,0.5,22,1,8,0.956522,0.733333,0.830189,False,False
0.45,0.55,22,1,8,0.956522,0.733333,0.830189,False,False
0.45,0.6,22,1,8,0.956522,0.733333,0.830189,False,False
0.45,0.65,22,1,8,0.956522,0.733333,0.830189,False,False
0.45,0.7,22,1,8,0.956522,0.733333,0.830189,False,False
0.5,0.4,21,0,9,1.0,0.7,0.823529,False,False
0.5,0.45,21,0,9,1.0,0.7,0.823529,False,False
0.5,0.5,21,0,9,1.0,0.7,0.823529,False,False
0.5,0.55,21,0,9,1.0,0.7,0.823529,False,False
0.5,0.6,21,0,9,1.0,0.7,0.823529,False,False
0.5,0.65,21,0,9,1.0,0.7,0.823529,False,False
0.5,0.7,21,0,9,1.0,0.7,0.823529,False,False
